Subject,Accelerometer axis,Signal length,Dimension,Delay,Permutation entropy,Complexity,Activity
1,attr_x,1024,3,1,0.83593135366074,0.1334837071874079,walking
1,attr_x,1024,3,2,0.9614748940082342,0.035904100241287755,walking
1,attr_x,1024,3,3,0.9869158609665722,0.012605925510355262,walking
1,attr_x,1024,4,1,0.7660842722675699,0.2261955108307893,walking
1,attr_x,1024,4,2,0.9310109514681963,0.08725595364744307,walking
1,attr_x,1024,4,3,0.9494718823116994,0.0653943214200331,walking
1,attr_x,1024,5,1,0.7997105956587822,0.2340224340540938,walking
1,attr_x,1024,5,2,0.9069983243274038,0.14541327998579243,walking
1,attr_x,1024,5,3,0.9116761632299213,0.14291051987670159,walking
1,attr_x,1024,6,1,0.8563150069045494,0.19788604297994714,walking
1,attr_x,1024,6,2,0.9234671723244742,0.132417159278593,walking
1,attr_x,1024,6,3,0.9363439497703155,0.11602365594923567,walking
1,attr_y,1024,3,1,0.7769297242838366,0.16717556700896294,walking
1,attr_y,1024,3,2,0.9096129087474691,0.07549231776754281,walking
1,attr_y,1024,3,3,0.9408112400227479,0.05061258054227928,walking
1,attr_y,1024,4,1,0.7067139203636207,0.24742752937829698,walking
1,attr_y,1024,4,2,0.8554558637190073,0.15748608090681962,walking
1,attr_y,1024,4,3,0.8990742590752528,0.10706538528288635,walking
1,attr_y,1024,5,1,0.7413843050024246,0.26098853966533864,walking
1,attr_y,1024,5,2,0.8365987116011733,0.20782602017003785,walking
1,attr_y,1024,5,3,0.8818002604492436,0.16093233064963713,walking
1,attr_y,1024,6,1,0.8031963237315366,0.2354206426365713,walking
1,attr_y,1024,6,2,0.873257824507388,0.1817036406579523,walking
1,attr_y,1024,6,3,0.9220138516970715,0.1273438334291304,walking
1,attr_z,1024,3,1,0.8855320359330037,0.09727064312202396,walking
1,attr_z,1024,3,2,0.9749425507684615,0.023157931025964255,walking
1,attr_z,1024,3,3,0.9910370954102904,0.0086103672094145,walking
1,attr_z,1024,4,1,0.8267727321450812,0.18104627726459474,walking
1,attr_z,1024,4,2,0.9584086921941887,0.052152089225144325,walking
1,attr_z,1024,4,3,0.9739261711939664,0.03263471780826034,walking
1,attr_z,1024,5,1,0.8298582819566245,0.21227615026738023,walking
1,attr_z,1024,5,2,0.9411032052038337,0.09744346037005568,walking
1,attr_z,1024,5,3,0.9434773672721697,0.09540562414400047,walking
1,attr_z,1024,6,1,0.8804578301636052,0.17272899154324517,walking
1,attr_z,1024,6,2,0.9566862145667365,0.08464303949633314,walking
1,attr_z,1024,6,3,0.9547342354612779,0.08825262143921979,walking
1,attr_x,1024,3,1,0.9000658713946181,0.08674982924433987,running
1,attr_x,1024,3,2,0.9774634694891733,0.022532340432171786,running
1,attr_x,1024,3,3,0.9934845804008461,0.006396908773064544,running
1,attr_x,1024,4,1,0.8503157039897417,0.16586322766259917,running
1,attr_x,1024,4,2,0.9672760233324647,0.043026872661831375,running
1,attr_x,1024,4,3,0.9747001446686113,0.03194012233713792,running
1,attr_x,1024,5,1,0.8598155434620255,0.19132571926732864,running
1,attr_x,1024,5,2,0.9330956198063254,0.10823273773180661,running
1,attr_x,1024,5,3,0.9400776145503248,0.09742451409641908,running
1,attr_x,1024,6,1,0.9071747095289077,0.14912326972359538,running
1,attr_x,1024,6,2,0.9360401447897464,0.11548532065995792,running
1,attr_x,1024,6,3,0.9450089327159961,0.10309845362672589,running
1,attr_y,1024,3,1,0.6286297795284899,0.2195717857080606,running
1,attr_y,1024,3,2,0.732025693067925,0.17787998877185912,running
1,attr_y,1024,3,3,0.7542815444823016,0.17353405448191309,running
1,attr_y,1024,4,1,0.5759025582046713,0.24875000546162493,running
1,attr_y,1024,4,2,0.7054952360067964,0.20926647949382413,running
1,attr_y,1024,4,3,0.7278483957803779,0.22148925989312204,running
1,attr_y,1024,5,1,0.6022395164782672,0.2593173544369703,running
1,attr_y,1024,5,2,0.7304703934909917,0.2228735196451965,running
1,attr_y,1024,5,3,0.7970062409596426,0.20876753620050725,running
1,attr_y,1024,6,1,0.6457424468174041,0.2531324271094288,running
1,attr_y,1024,6,2,0.7803650901917445,0.21537786315002277,running
1,attr_y,1024,6,3,0.864534200066077,0.18022426577443731,running
1,attr_z,1024,3,1,0.8991399711362845,0.08654978613137712,running
1,attr_z,1024,3,2,0.9826008120408201,0.016721080194060656,running
1,attr_z,1024,3,3,0.9862677400986953,0.013557215842854796,running
1,attr_z,1024,4,1,0.846189205501961,0.1759321505517134,running
1,attr_z,1024,4,2,0.9773250451490705,0.028431925327702327,running
1,attr_z,1024,4,3,0.9679437079135127,0.042128348919361826,running
1,attr_z,1024,5,1,0.8712770610222066,0.181437034241054,running
1,attr_z,1024,5,2,0.9543818425479803,0.07644027363152993,running
1,attr_z,1024,5,3,0.928854939324169,0.11847934341595463,running
1,attr_z,1024,6,1,0.9186206903463014,0.13421509362585762,running
1,attr_z,1024,6,2,0.9502647186007991,0.09334820946558306,running
1,attr_z,1024,6,3,0.9402990464692089,0.10956386704639219,running
1,attr_x,1024,3,1,0.8100077130529209,0.15102680080801778,climbingup
1,attr_x,1024,3,2,0.9059593104685892,0.08220476309970941,climbingup
1,attr_x,1024,3,3,0.9455619924499876,0.04944430059890207,climbingup
1,attr_x,1024,4,1,0.7319185388988709,0.23128698360778943,climbingup
1,attr_x,1024,4,2,0.8567135686533186,0.15134983120558163,climbingup
1,attr_x,1024,4,3,0.9049830120318479,0.1097589861719367,climbingup
1,attr_x,1024,5,1,0.7359147876833677,0.2558875938485457,climbingup
1,attr_x,1024,5,2,0.8423847503738789,0.20621562912370756,climbingup
1,attr_x,1024,5,3,0.8815240750278699,0.17299810452106584,climbingup
1,attr_x,1024,6,1,0.7878819738579902,0.234389959287101,climbingup
1,attr_x,1024,6,2,0.8943928674076833,0.16250413031450636,climbingup
1,attr_x,1024,6,3,0.9240241501431858,0.13386743975628218,climbingup
1,attr_y,1024,3,1,0.7159882098756042,0.2025626938241802,climbingup
1,attr_y,1024,3,2,0.8463860704910214,0.1253276573498444,climbingup
1,attr_y,1024,3,3,0.92117614961704,0.06796111532659677,climbingup
1,attr_y,1024,4,1,0.6472098878642956,0.2546364031110239,climbingup
1,attr_y,1024,4,2,0.7800266787270458,0.2183794437118647,climbingup
1,attr_y,1024,4,3,0.8853546503671363,0.12254432798091437,climbingup
1,attr_y,1024,5,1,0.6696987428686746,0.2694102141482086,climbingup
1,attr_y,1024,5,2,0.8000981820924822,0.23348401741433192,climbingup
1,attr_y,1024,5,3,0.8727521081498613,0.167169490478269,climbingup
1,attr_y,1024,6,1,0.7197759858861942,0.2647606998071904,climbingup
1,attr_y,1024,6,2,0.8504068166571376,0.19931391558694758,climbingup
1,attr_y,1024,6,3,0.900505692791111,0.15685088491406404,climbingup
